title,year,rating,director,stars
Cewek Jagoan Beraksi Kembali,1981,6.4,Danu Umbara,"Debbie Cinthya Dewi,Dana Christina,Eva Arnaz"
Pacar Ketinggalan Kereta,1989,7.3,Teguh Karya,"Ayu Azhari,Rachmat Hidayat,Niniek L. Karim"
Jaka geledek,1983,,Fritz G. Schadt,"George Rudy,Siska Widowati,Dicky Zulkarnaen"
Suwung,2019,,Hamka Winovan,"Lionil Hendrik,Weni Panca,Inez Fahri"
Mati Muda di Pelukan Janda,2011,2.5,Helfi C.H. Kardit,"M. Ihsan Tarore,Ayu Pratiwi,Shinta Bachir"
Misteri Kebun Tebu,1997,5.0,Joko Supriyono,"Joko Supriyono,Wawan Wanisar"
Irrelevant,2015,,Ida Ayu Lestari,Ida Ayu Lestari
Noda X,1985,,Ackyl Anwari,"Zainal Abidin,Baron Ahmadi,Eva Arnaz"
Saus Kacang,2008,5.0,Indrayanto Kurniawan,"Bunga Citra Lestari,Ashraf Sinclair,Nadia Saphira"
Roman Picisan,2010,6.2,Rako Prijanto,"Tora Sudiro,Artika Sari Devi,Alex Abbad"
Zharfa,2019,,Ruli Wanisar,"Kaka Azraff,Donny Alamsyah,Betari Ayu"
Miracle: Menantang Maut,2007,3.6,Helfi C.H. Kardit,"Abimana Aryasatya,Ivy Batuta,Nadila Ernesta"
Makmum 2,2021,,Guntur Soeharjanto,"Samuel Rizal,Titi Kamal,Pritt Timothy"
Kentut,2011,4.8,Aria Kusumadewa,"Deddy Mizwar,Ira Wibowo,Keke Soeryo"
Krazy Crazy Krezy...,2009,3.3,Rako Prijanto,"Tora Sudiro,Vincent Ryan Rompies,Mohd Pierre Andre"
Pendekar Kesepian,2015,7.0,Yusron Fuadi,"Aditya Utama,Yusron Fuadi,Eka Nusa Pertiwi"
The Real Pocong,2009,5.4,Hanny Saputra,"Nabila Syakieb,Ashraf Sinclair,Sakinah Dava Erawan"
Inside Mind,2015,,Kevin Anderson,"Kevin Anderson,Kevin Anderson,Sabrina Athika"
Wan an,2012,8.2,Yandy Laurens,"Yandy Laurens,Henky Solaiman,Maria Oentoe"
Gending Sriwijaya,2013,6.0,Hanung Bramantyo,"Sahrul Gunawan,Agus Kuncoro,Mathias Muchus"
Mooncake Story,2017,6.5,Garin Nugroho,"Dominique Agisca Diyose,Bunga Citra Lestari,Morgan Oey"
Indera ke Enam,2016,5.4,Wisnu Kuncoro,"Maya Nathan Wendelboe,Natasha Gott,Widi Dwinanda"
Jaringan tabu,1996,,Prawoto S. Rahardjo,"Diaz Astiza,Anne J. Cotto,Alex Dirjosaputro"
Cai Lan Gong,2015,6.2,David Purnomo,"Ineke Valentina,Ronny P. Tjandra,Anthony Xie"
Pengakuan Seorang Pelacur,2010,5.6,Andrew Timothy,"Jenny Cortez,Andi Soraya,Gita Prisilfia"
Wanita Jelmaan,1990,,Sofyan Sharna,"Sally Marcellina,Kiki Amelia,Sonny Dewantara"
Sang Martir,2012,7.7,Helfi C.H. Kardit,"Adipati Dolken,Nadine Ames,Henidar Amroe"
Pernikahan Berdarah,1987,4.8,Torro Margens,"Raja Ema,Billy Chong,Zainal Abidin"
Membabi Buta,2017,7.2,Joel Fadli,"Anggi Septianto,Lenny Charlote,Prisia Nasution"
True Heart,2013,7.5,Ismail Sofyan Sani,"Agung Saga,Masayu Clara,Vira Jiansa Abidin"
Mengaku Rasul,2008,6.0,Helfi C.H. Kardit,"Jian Batari,Vonny Cornellya,Alblen Fillindo Fabe"
Tamu Agung,1955,5.3,Usmar Ismail,"Cassin Abbas,Nina Amora,M. Pandji Anom"
Sajadah Ka'bah,2011,6.6,Rhoma Irama,"Rhoma Irama,Ruhut Sitompul,Ida Iasha"
Permainan bulan desember,1980,,Nico Pelamonia,"Roy Marten,Suzzanna,Robby Sugara"
Gara-Gara Bola,2008,5.3,Agasyah Karim,"Winky Wiryawan,Herjunot Ali,Tarzan"
My Last Love,2012,6.0,Nayato Fio Nuala,"Donita,Caroline Elodie,Rozie Mahally"
Zodiac: Apa Bintangmu?,2017,,Dinna Jasanti,"Enzy Storia,Gandhi Fernando,Junior Liem"
Atambua 39° Celsius,2012,6.0,Riri Riza,"Riri Riza,Gudino Suares,Petrus Beyleto"
Pokun Roxy,2013,6.6,Boy Rano,"Ade Nila A.,Saleh Ali,Susilo Badar"
Santet Kuntilanak,2012,4.0,Nayato Fio Nuala,"Nadya Almira,Uli Auliani,Rina Diana"
Pesugihan: Bersekutu dengan Iblis,2020,,Hanny Saputra,"Nirina Zubir,Randy Martin,Gary M. Iskak"
Misterius,2015,4.9,Muhammad Yusuf,"Sofia Adios,Efritha Berliana,Muhammad Iqbal"
"Ada Kamu, Aku Ada",2008,5.2,Rizal Mantovani,"Bunga Citra Lestari,Andhika Pratama,Rama Michael"
Akhir Sebuah Impian,1973,5.8,Turino Junaidy,"Emilia Contessa,Broery Marantika,Benyamin S."
Balada dua jagoan,1979,5.8,Fritz G. Schadt,"Dicky Zulkarnaen,Chin-Kun Li,George Rudy"
Grave Torture,2012,6.8,Joko Anwar,"2 more credits,Joko Anwar,Ismail Basbeth"
LDR,2015,7.7,Guntur Soeharjanto,"Verrell Bramasta,Mentari De Marelle,Al Ghazali"
Jamila dan Sang Presiden,2009,6.8,Ratna Sarumpaet,"Atiqah Hasiholan,Christine Hakim,Fauzi Baadila"
Batas,2011,7.8,Rudy Soedjarwo,"Marcella Zalianty,Marcell Domits,Arifin Putra"
The Butterfly,2007,6.3,Nayato Fio Nuala,"Titien Wattimena,Debby Kristy,Andhika Pratama"
Sandal,2016,8.5,Jeiji Joned,"Syifa Aura Azahra,Anindya Putri,Nia Ramadhani"
Rumah Hantu Pasar Malam,2012,3.6,Arie Azis,"Rebecca Reijman,Uli Auliani,Amel Alvie"
Keranda Kuntilanak,2011,3.2,Nayato Fio Nuala,"Zacky Zimah,Fiona Fachry,Tifany Jane"
Kantata Takwa,2008,8.4,Eros Djarot,"Gotot Prakosa,1 more credit,Iwan Fals"
Fit in with the App,2018,6.2,Adink Liwutang,"Valentino Peter,Lolox,Ernest Prakasa"
Gesturing Notations,2021,,George Arif,"George Arif,Nano Riantiarno,Rangga Riantiarno"
Youtubers,2015,,Jovial Da Lopez,"Jovial Da Lopez,Andovi Da Lopez,Anggika Bolsterli"
Kejarlah Daku Kau Kutangkap,1986,7.8,Chaerul Umam,"Lydia Kandou,Deddy Mizwar,Ully Artha"
Me vs. Mami,2016,7.5,Ody C. Harahap,"Cut Mini Theo,Irish Bella,Dimas Aditya"
Hantu Jeruk Purut,2006,4.7,Nayato Fio Nuala,"Angie Virgin,Sheila Marcia,Samuel Zyglwyn"
Godam & Tira,2021,,IMDbPro,"writer,producer,preliminary cast"
Belum Cukup Umur,2010,6.4,Nayato Fio Nuala,"Joanna Alexandra,Mentari,Vikri Rahmat"
Tusuk Jelangkung di Lubang Buaya,2018,2.2,Erwin Arnada,"Nina Kozok,Anya Geraldine,Rayn Wijaya"
Si Jago Merah 2: Air & Api,2015,8.0,Raymond Handaya,"Judika Sihotang,Deddy Mahendra Desta,Dion Wiyoko"
Semesta Mendukung,2011,7.0,John de Rantau,"Sheina Abdat,Rendy Ahmad,Sayef Muhammad Billah"
Negeri di Bawah Kabut,2011,7.7,Shalahuddin Siregar,Shalahuddin Siregar
Olga dan Sepatu Roda,1992,7.6,Achiel Nasrun,"Nike Ardilla,Alba Fuad,Tino Karno"
Get Lost: Urban Legend di Benteng Pendem,2018,,Chiska Doppert,"Maxime Bouttier,Indra Charisma,Aga Dirgantara"
"Lihat Boleh, Pegang Jangan",2010,2.9,Findo Purwono,"Shinta Bachir,Derry Drajat,Steve Emmanuel"
Roy Kiyoshi: The Untold Story,2019,2.2,Jose Poernomo,"Roy Kiyoshi,Angel Karamoy,Olga Lydia"
KAILI: Karena Aku Ingin Kembali,2017,8.1,Andi Syahwal Mattuju,"Moh. Dhoby,Atika Fauziyyah,Shella Silvany Kambay"
Pengantin remaja,1971,,Wim Umboh,"Ariati,Ratih Dardo,W.D. Mochtar"
Melbourne Rewind,2016,5.8,Danial Rifki,"Morgan Oey,Pamela Bowie,Walter Moeremans"
Kesurupan,2008,4.2,Rizal Mantovani,"Aviv Elham,Shareefa Daanish,Andhika Pratama"
Menggapai matahari,1986,,Nurhadie Irawan,"Lina Budiarty,Ikang Fawzi,Anton Indracaya"
Membakar Matahari,1983,5.7,Arizal,"Eva Arnaz,Barry Prima,George Rudy"
Buaya Putih,1982,3.8,Fritz G. Schadt,"Yatti Octavia,Dicky Zulkarnaen,Deddy Sutomo"
The Tiger from Tjampa,1953,6.3,D. Djajakusuma,"Wahid Chan,Bambang Hermanto,R.D. Ismail"
Bumi makin panas,1973,,Ali Shahab,"Suzzanna,Dicky Suprapto,Farida Feisol"
Kelam,2019,2.9,Erwin Arnada,"Aura Kasih,Amanda Manoppo,Giselle Tambunan"
Yuni,2021,,Kamila Andini,"Arawinda Kirana,Asmara Abigail,Sekar Sari"
Pocong Keliling,2010,4.1,Viva Westi,"Indra Birowo,Adipati Dolken,Donita"
Bukit Berdarah,1985,,Atok Suharto,"George Rudy,Enny Beatrice,Advent Bangun"
Belahan Jiwa,2005,6.5,Sekar Ayu Asmara,"Endhita,Ria Irawan,Indah Kalalo"
Iqro: My Universe,2019,7.0,Iqbal Alfajri,"Aisha Nurra Datau,Cok Simbara,Raihan Khan"
Cinta Silver,2005,5.7,Lance Laggong,"Restu Sinaga,Luna Maya,Rima Melati"
Love in Perth,2010,6.0,Findo Purwono,"Gita Gutawa,Michella Putri,Michelle Denis Coates"
Meet Me in Venice,2008,7.2,Rocky Soraya,"Sharon Jessica,Muhammad Fardhan,Aditya Firmansyah"
Nakalnya Anak Muda,2010,4.0,Nayato Fio Nuala,"Uli Auliani,Ratu Felisha,Rozie Mahally"
Roman Picisan,1980,8.3,Adisoerya Abdi,"Pria Bombom,Dorman Borisman,Rahayu Effendi"
Putri Duyung,1985,6.3,Atok Suharto,"Eva Arnaz,Barry Prima,Advent Bangun"
Ghost Writer 2,2021,,Bene Dion Rajagukguk,"Ernest Prakasa,Tatjana Saphira,Deva Mahenra"
Kuntilanak-Kuntilanak,2012,5.4,Nayato Fio Nuala,"Niken Anjani,Adzwa Aurelline,Rikas Harsa"
Lotus Requiem,2007,7.5,Upi Avianto,"Fauzi Baadila,Susan Bachtiar,Otto Djauhari"
Gantian Dong,1985,6.7,Arizal,"Mathias Agus,Chintami Atmanegara,Advent Bangun"
Cinta Pertama,1973,7.4,Teguh Karya,"Ully Artha,Ardi H.S.,Christine Hakim"
Sengatan Kobra,1986,,Mardaly Sjarif,"Lia Fadilla,Baron Hermanto,Barry Prima"
Pocong Minta Kawin,2011,7.1,Nayato Fio Nuala,"Mpok Atiek,Bolot,Christopher"
"Rayya, Cahaya di Atas Cahaya",2012,7.8,Viva Westi,"Tio Pakusadewo,Titi Rajo Bintang,Verdi Solaiman"
Special Silencers,1982,6.0,Arizal,"Barry Prima,Eva Arnaz,W.D. Mochtar"
Gadis Metropolis,1991,7.6,Bobby Sandy,"Sally Marcellina,Inneke Koesherawati,Febby Lawrence"
Nini Thowok,2018,,Erwin Arnada,"Natasha Wilona,Amec Aris,Ingrid Widjanarko"
Menculik Miyabi,2010,3.4,Findo Purwono,"Maria Ozawa,Nicky Tirta,Herfiza Novianti"
Milli & Nathan,2011,7.4,Hanny Saputra,"Olivia Lubis Jensen,Christ Laurent,Sabai Morscheck"
At Stake,2008,8.6,Ucu Agustin,"3 more credits,Ucu Agustin,Muhammad Ichsan"
6:30,2006,6.2,Rinaldy Puspoyo,"Adilla Dimitri,Dinna Olivia,Winky Wiryawan"
Kata Maaf Terakhir,2009,5.8,Maruli Ara,"Ade Surya Akbar,Rachel Amanda,Maia Estianty"
Garasi,2006,6.3,Agung Sentausa,"Fedi Nuril,Ayu Ratna,Aries Budiman"
Cinta Dalam Kardus,2013,6.5,Salman Aristo,"Raditya Dika,Ryan Adriandhy,Hadian Saputra"
Lukisan Ratu Kidul,2019,6.4,Ginanti Rona Tembang Sari,"Teuku Zacky,Ussy Sulistiawaty,Wafda Saifan"
Doa yang Mengancam,2008,6.2,Hanung Bramantyo,"Aming Sugandhi,Jojon,Titi Kamal"
Arwah Tumbal Nyai the Trilogy: Part Arwah,2018,3.4,Arie Azis,"Zaskia Gotik,Shakti Arora,Lia Waode"
Rock N Love,2015,,Hedy Suryawan,"Axel Andaviar,Vino G. Bastian,Ganindra Bimo"
Badai Pasti Berlalu,2007,6.7,Teddy Soeriaatmadja,"Vino G. Bastian,Raihaanun Soeriaatmadja,Winky Wiryawan"
"Mereka Bilang, Saya Monyet!",2008,6.8,Djenar Maesa Ayu,"Titi Rajo Bintang,Henidar Amroe,Ray Sahetapy"
Aroma of Heaven,2014,9.1,Budi Kurniawan,"Thamar Beckx,Cornelis Gae,Surip Mawardi"
Cin(T)a,2009,7.2,Sammaria Simanjuntak,"Sammaria Simanjuntak,Sahat Gultom,Saira Jihan"
Bing slamet setan djalanan,1972,,Hasmanan,"Nasum As,Ateng,Iskak"
Pesan dari Surga,2006,5.7,Sekar Ayu Asmara,"Luna Maya,Vino G. Bastian,Ario Bayu"
Suka-Suka Super 7: Habis Gelap Menuju Terang,2014,8.8,Geri Busye,"Raza Adhanzio,Muhammad Fazzil Alditto,Tissa Biani Azzahra"
Obama Anak Menteng,2010,6.1,John de Rantau,"Hasan Faruq Ali,Teuku Zacky Azwar,Cara Lachelle"
Akal-akalan,1991,,Arizal,"Fuad Alkhar,Kiki Fatmala,Kadir"
I Wanna Kiss You Once,2002,6.5,Garin Nugroho,"Octavianus Rysiat Muabuay,Lulu Tobing,Minus Coneston Karoba"
"3 Hati, Dua Dunia, Satu Cinta",2010,7.0,Benni Setiawan,"Reza Rahadian,Laura Basuki,Arumy Bachsin"
Banda: The Dark Forgotten Trail,2017,8.1,Jay Subiakto,"Jay Subiakto,Mohammad Irfan Ramly,Ario Bayu"
Oh Baby,2008,5.4,Cassandra Massardi,"Cinta Laura Kiehl,Ridwan Ghany,Randy Pangalila"
Jokowi Adalah Kita,2014,,Ronny Mepet,"Azmi,Susilo Badar,Clement"
Permainan Dibalik Tirai,1988,4.3,Maman Firmansyah,"Mike Abbott,Atut Agustinanto,Nina Anwar"
Laut Bercermin,2011,7.0,Kamila Andini,"Atiqah Hasiholan,Reza Rahadian,Gita Novalista"
Setannya Kok Beneran?,2008,4.7,Muchyar Syamas,"Ence Bagus,Indra Birowo,Dimas Fadli"
Kambing Jantan,2009,5.7,Rudy Soedjarwo,"Raditya Dika,Meity Josefina,Anggi Nasution"
Gadis metropolis 2,1995,,Bobby Sandy,"Inneke Koesherawati,Febby Lawrence,Windy Chindyana"
Pelukan Janda Hantu Gerondong,2011,4.0,Helfi C.H. Kardit,"Indah Kalalo,Aida Saskia,Shidiq Hamidi"
The Fabulous Udin,2016,6.8,Herdanius Larobu,"Muhammad Fazzil Alditto,Bella Graceva,Zulfa Maharani"
Betty bencong slebor,1978,7.4,Benyamin S.,"Benyamin S.,Bokir,Aminah Cendrakasih"
Villa Berdarah,2018,,Bambang Drias,"Al Ghazali,Metta Permadi,Dara Rizki Ruhiana"
Naura & the Champions,2017,,Eugene Panji,"Adyla Rafa Naura Ayu,Joshua Rundengan,Vickram Abdul Faqih Priyono"
Jelangkung 3,2007,4.7,Angga Dwimas Sasongko,"Ginatri S. Noer,Mitha Griselda,Reza Pahlevi"
Minggu Pagi di Victoria Park,2010,7.6,Lola Amaria,"Donny Alamsyah,Lola Amaria,Titi Rajo Bintang"
Tendangan dari Langit,2011,7.2,Hanung Bramantyo,"Yosie Kristanto,Maudy Ayunda,Giorgino Abraham"
Rahasia Perkawinan,1978,,Maman Firmansyah,"Yatti Octavia,Roy Marten,Rachmat Hidayat"
Godaan Cinta,1994,6.6,Atok Suharto,"Malfin Shayna,Gitty Srinita,Windy Chindyana"
Saya Duluan Dong,1994,5.8,Arizal,"Rara Azis,H.I.M. Damsyik,Ingrid M.P. Kansil"
Hulahoop Soundings,2008,6.6,Edwin,"Edwin,Ladya Cheryl,Heidy Trisiana Triswan"
Kukira Kau Rumah,2021,,Umay Shahab,"Prilly Latuconsina,Shenina Cinnamon,Jourdy Pranata"
Sarang Kuntilanak,2008,3.8,Nayato Fio Nuala,"Ayu Andhika,Ikbal Azhari,Elena Lubis"
Walking Dead - Tomate,2020,,Eka Katili,"Iqbal Perdana,Yulinar Arief,Aga Dirgantara"
Kemilau cinta di langit jingga,1985,6.0,Muchlis Raya,"Rhoma Irama,Yatti Octavia,Harun Syarif"
Martabak Bangka,2019,6.4,Eman Pradipta,"Ramon Y. Tungka,Ario Astungkoro,Gabriella Desta"
Cinta Dalam Sepotong Roti,1992,6.7,Garin Nugroho,"Adjie Massaid,Monica Oemardi,Tio Pakusadewo"
Kabayan Jadi Milyuner,2010,4.9,Guntur Soeharjanto,"Jamie Aditya,Meriam Bellina,Rianti Cartwright"
Arwah Goyang Karawang,2011,2.9,Helfi C.H. Kardit,"Erlando,Ajeng Kraton,Julia Perez"
Gengsi Dong,1980,6.2,Nawi Ismail,"Nawi Ismail,Dono Warkop,Indro Warkop"
Guntur tengah malam,1990,6.2,A. Rachman,"Desy Ratnasari,Alba Fuad,Johan Saimima"
D.O. (Drop Out),2008,4.8,Winaldha E. Melalatoa,"Ben Joshua,Titi Kamal,Boyke Dian Nugraha"
Bidadari-Bidadari Surga,2012,6.7,Soni Gaokasak,"Nirina Zubir,Nino Fernandez,Nadine Chandrawinata"
Surat Cinta Untuk Kartini,2016,7.9,Azhar Kinoi Lubis,"Chicco Jerikho,Rania Putri Sari,Ence Bagus"
LDR 2: Where Is My Romeo,2015,5.8,Guntur Soeharjanto,"Verrell Bramasta,Mentari De Marelle,Al Ghazali"
Aladin dan Lampu Wasiat,1982,5.9,Sisworo Gautama Putra,"Pria Bombom,Marlia Hardi,Jack John"
Saur Sepuh 2: Pesanggrahan Keramat,1989,7.9,Imam Tantowi,"Murti Sari Dewi,Elly Ermawati,Yoshep Hungan"
Diaries of Letters to God,2011,7.4,Harris Nizam,"Dwi Andhika,Egi John Foreisythe,Dinda Hauw"
Ibunda,1986,7.0,Teguh Karya,"Tuti I. Malaon,Alex Komang,Ria Irawan"
Tenripada,2020,,Syahrir Arsyad Dini,"Jeihan Dun,Reza Pahlevi,Saffanah Kayla"
Demi Waktu,2020,,Faozan Rizal,"Faozan Rizal,Dimas Anggara,Mathias Muchus"
Akibat hamil muda,1993,,Dhany Firdaus,"Johny Anwar,Ully Artha,F.X. Bambang"
Jokowi,2013,6.9,Azhar Kinoi Lubis,"T. Rifnu Wikana,Prisia Nasution,Susilo Badar"
The House Without a Window,2011,7.3,Aditya Gumay,"Emir Mahira,Dwi Tasya,Raffi Ahmad"
Laundry Show,2019,7.2,Rizki Balki,"Boy William,Gisella Anastasia,Tissa Biani Azzahra"
Beranak dalam Kubur,2007,3.2,Freddy Lingga,"Dinda Kanyadewi,Revand T. Narya,Julia Perez"
If I Were You,2019,7.4,Guntur Soeharjanto,"Titi Kamal,Donita,Gading Marten"
Satria Garuda: Bima-X - The Beginning,2014,,Alam Putra K.W.,"Abio Abie,Adhitya Alkatiri,Ashari"
The Fugitive,2019,3.7,Richard Oh,"Adipati Dolken,Ayushita,Ernest Samudera"
Pergaulan metropolis,1994,,H. Tjut Djalil,"Inneke Koesherawati,Malfin Shayna,Ferry Tanjung"
Tiran: Mati di Ranjang,2010,3.8,Arie Azis,"Dewi Perssik,Indra L. Bruggman,Ayu Dewi"
Jack,2019,,Ainun Ridho,"Arief Wibhisono,Grace Tie,Eko Tralala"
Thirteenth Floor,2007,4.8,Helfi C.H. Kardit,"Widi Mulia,Bella Esperance,Lucky Hakim"
Kesempatan Kedu(d)a,2018,6.7,Awi Suryadi,"Raffi Ahmad,Zizan Razak,Cut Meyriska"
Vajra Mushti,1985,,Bhargava,"Arathi,Mukhyamantri Chandru,Dheerendra Gopal"
Losmen Bu Broto,2021,,Eddie Cahyono,"Maudy Koesnaedi,Mathias Muchus,Putri Marino"
Bintang Kejora,1986,8.1,Chaerul Umam,"El Manik,Ikranagara,Mang Udel"
Love,2008,6.6,Kabir Bhatia,"Fauzi Baadila,Laudya Cynthia Bella,Wulan Guritno"
Suster Keramas,2009,3.0,Helfi C.H. Kardit,"Herfiza Novianti,Rin Sakuragi,Alex Abbad"
Sabyan Menjemput Mimpi,2019,5.8,Alim Ishaq,"Nissa Sabyan,Anis Sabyan,Ayus Sabyan"
Loe Gue End,2012,6.6,Awi Suryadi,"Nadia Alexandria,Dimas Beck,Moudyzanya"
Jodoh Boleh Diatur,1988,6.7,Ami Priyono,"Raja Ema,Dono Warkop,Mr. Os"
Janda Kembang,2009,4.3,Lakonde,"Ringgo Agus Rahman,Luna Maya,Sarah Sechan"
Adit Sopo Jarwo: The Movie,2021,,,
Komedi Moderen Gokil,2015,4.2,Cuk Fk,"Dodit Mulyanto,Boris Bokir,Indro Warkop"
The Maling Kuburans,2009,6.9,Dwi Ilalang,"Indra Birowo,Donita,Heri Savalas"
Banyu Biru,2005,6.4,Teddy Soeriaatmadja,"Tora Sudiro,Dian Sastrowardoyo,Slamet Rahardjo"
Angel Finds Wings,2020,6.9,Aria Kusumadewa,"Leony Vitria Hartanti,Rizky Hanggono,Nano Riantiarno"
Ira Maya Putri Cinderella,1981,,Willy Wilianto,"Ira Maya Sopha,Dorman Borisman,Maya Dewi"
Romantini,2013,5.4,Monty Tiwa,"Ridwan Ghany,Ashanty Hermansyah,Aurel Hermansyah"
Detik-detik cinta menyentuh,1981,,Ali Shahab,"Zainal Abidin,Darussalam,Rahayu Effendi"
Belenggu,2012,6.2,Upi Avianto,"Abimana Aryasatya,Imelda Therinne,Laudya Cynthia Bella"
Kisah Nyata Kereta Setan Manggarai,2009,4.0,Nanang Istiabudi,"Ferry Gustian,Vera Lasut,Ocke Mulyawan R."
The Globalisation Tapes,2003,7.4,Anar,"Basir,10 more credits,Intan Sinaga"
2014,2014,7.1,Hanung Bramantyo,"Ray Sahetapy,Rizky Nazar,Donny Damara"
3 Dara,2015,6.1,Ardy Octaviand,"Tora Sudiro,Adipati Dolken,Tanta Ginting"
Taufiq: Lelaki yang Menantang Badai,2019,,Ismail Basbeth,"Achmad Megantara,Aghniny Haque,Brandon Salim"
1000 Kilometer,2016,6.9,Ilham Nuriadi,"Syafwin Bajumi,Yusuf Abdul Jamil,Raihan Ahmad Ramdhani"
Emma' (Mother),2016,7.0,Riri Riza,"Cut Mini Theo,Christoffer Nelwan,Nino Prabowo"
The Nine Dragons,2006,6.4,Rudy Soedjarwo,"Donny Alamsyah,Fauzi Baadila,Dorman Borisman"
Wanita Harimau,1989,4.6,Sisworo Gautama Putra,"Lela Anggraini,H. Kosim Betawi,Bokir"
Selamanya,2007,7.0,Ody C. Harahap,"Sekar Ayu Asmara,Masayu Anastasia,Julie Estelle"
Bidadari Terakhir,2015,,Awi Suryadi,"Maxime Bouttier,Whulandary Herman,Stella Cornelia"
Negeri Tanpa Telinga,2014,8.2,Lola Amaria,"Jenny Chang,Tanta Ginting,Gary M. Iskak"
Tahu beres,1993,6.6,Arizal,"Mathias Agus,Yayik Artikandi,Kadir"
Kepergok Pocong,2011,4.6,Nayato Fio Nuala,"Azis Gagap,Reymond Knuliq,Rozie Mahally"
Sing to the Dawn,2008,5.3,Philip Mitchell,"Indra Bekti,Brad Bowyer,Jason Chan"
Taring,2010,5.4,Rizal Mantovani,"Fahrani,Shinta Bachir,Hendrik Betta"
MBA: Married by Accident,2008,6.0,Winaldha E. Melalatoa,"Nikita Willy,Marcell Darwin,Debby Ayu"
Pokoknya Beres,1983,7.4,Arizal,"Dono Warkop,Kasino Warkop,Indro Warkop"
Paranoia,2021,,Riri Riza,"Nirina Zubir,Nicholas Saputra,Caitlin North Lewis"
Jermal,2008,6.8,Ravi L. Bharwani,"Iqbal S. Manurung,Didi Petet,Yayu A.W. Unru"
Madre,2013,7.7,Benni Setiawan,"Laura Basuki,Vino G. Bastian,R. Chaeruli"
Hantu Tanah Kusir,2010,4.4,Findo Purwono,"Zacky Zimah,Maria Ozawa,Rheina Maryana"
Gondoruwo,1981,,Ratno Timoer,"Menzano,Lina Noor,Farida Pasha"
Rumah di Seribu Ombak,2012,7.2,Erwin Arnada,"Risjad Aden,Tania Grace,Riman Jayadi"
Hong Kong Kasarung,2018,7.8,Eric Satyo,"Pamela Bowie,Dicky Chandra,Rizky Febian"
Legend of the East,2014,6.9,Nirattisai Kaljareuk,"1 more credit,Yusril Ihza Mahendra,Wang Hui Qian"
Tarung: City of the Darkness,2011,6.1,Nayato Fio Nuala,"Guntur Triyoga,Volland humonggio,Krisna Patra"
Keira,2018,7.8,Harry Dagoe,"Angelica Simperler,Ray Sahetapy,Ferly Putra"
After School Horror,2014,,Nayato Fio Nuala,"Indah Permatasari,Maxime Bouttier,Christ Laurent"
Anda Puas Saya Loyo,2008,2.8,K.K. Dheeraj,"Komeng,Ruben Onsu,Bedu"
Wakil Rakyat,2009,5.6,Monty Tiwa,"Tora Sudiro,Revalina S. Temat,Wiwid Gunawan"
Rumah Belanda,2018,5.9,Hedy Suryawan,"Hedy Suryawan,Laode Muhammad Farhan,Kelly Tandiono"
Radio Galau FM,2012,6.4,Iqbal Rais,"Dimas Anggara,Natasha Rizki,Alisia Rininta"
Cinta sama dengan Cindolo Na Tape,2018,7.5,Andi Burhamzah,"A. Thesar Resandy,Maizura,Brilian Rexy Sondakh"
Remember When,2014,6.1,Fajar Bustomi,"Michelle Ziudith,Maxime Bouttier,Stella Cornelia"
Kiamat Sudah Dekat,2003,6.9,Deddy Mizwar,"Nazar Amir,Chintami Atmanegara,Aldo Banar"
Dejavu: Ajian Puter Giling,2015,,Hanny Saputra,"Ririn Dwi Aryanti,Ririn Ekawati,Pipien Putri"
Otomatis Romantis,2008,6.3,Guntur Soeharjanto,"Marsha Timothy,Tora Sudiro,Tukul Arwana"
Lost in Love,2008,6.8,Rachmania Arunita,"Pevita Pearce,Richard Kevin,Arifin Putra"
The Sexy City,2010,,Helfi C.H. Kardit,"Fauzi Baadila,Baim,Jerry Intveld"
Pacarku Kuntilanak Kembar,2012,3.5,Nuri Dahlia,"Nuri Dahlia,Nikita Mirzani,Rizky Mocil"
Kera Sakti,1978,5.9,Kuan Tai Chen,"Kuan Tai Chen,Billy Chong,Jenny Ho"
Mengejar Surga,2019,,Bambang Drias,"Jessica Mila,Al Ghazali,Kimberly Ryder"
Catatan Harian Tante Sonya,1994,5.4,Abrar Siregar,"Ayu Azhari,Chris Michael,Poppy Farida"
Setan Budeg,2009,4.1,Findo Purwono,"Dewi Perssik,Saipul Jamil,Uli Auliani"
Koki-Koki Cilik,2018,7.3,Ifa Isfansyah,"Morgan Oey,Ringgo Agus Rahman,Faras Fatik"
Misteri Cipularang,2013,5.0,Dede Ferdinand,"Amel Alvie,Hendrik Bhibir,Kris Firdaus"
Haji Backpacker,2014,6.1,Danial Rifki,"Abimana Aryasatya,Dewi Sandra,Laudya Cynthia Bella"
Suami-Suami Takut Istri: The Movie,2008,3.9,Sofyan D. Surza,"Otis Pamutih,Aty Fathiyah,Irfan Setiadi"
Nay,2015,6.9,Djenar Maesa Ayu,"Sha Ine Febriyanti,Cinta Ramlan,Farishad I. Latjuba"
Nightmare Side: Delusional,2019,5.9,Joel Fadly,"Gege Elisa,Fay Nabila Rizka,Melissa Karim"
After School Horror 2,2017,5.1,Nayato Fio Nuala,"Michelle Joan,Cassandra Lee,Devin Putra"
3 Dara 2,2018,6.8,Monty Tiwa,"Tora Sudiro,Adipati Dolken,Tanta Ginting"
EL: The Movie,2018,7.7,Findo Purwono,"Dimaz Andrean,Meriam Bellina,Brigitta Cynthia"
